,city,country,airport,lon,lat
150,Bergen,Norway,BGO,5.218140125, 60.29339981
151,Bodø,Norway,BOO,14.365300178527832, 67.26920318603516
152,Haugesund,Norway,HAU,5.2083601951599, 59.34529876709
153,Kristiansand,Norway,KRS,8.08537, 58.204201
154,Oslo,Norway,OSL,11.100399971008, 60.193901062012
155,Sandefjord Torp,Norway,TRF,10.258600235, 59.1866989136
156,Stavanger,Norway,SVG,5.6377801895, 58.876701354
157,Tromsø,Norway,TOS,18.918899536132812, 69.68329620361328
158,Trondheim,Norway,TRD,10.9239998, 63.4578018
159,Gdansk,Poland,GDN,18.46619987487793, 54.377601623535156
160,Katowice,Poland,KTW,19.08, 50.4743
161,Kraków,Poland,KRK,19.7848, 50.077702
162,Poznan,Poland,POZ,16.8262996674, 52.421001434299995
163,Szczecin-Goleniów,Poland,SZZ,14.902199745199999, 53.584701538100006
164,Warsaw,Poland,WAW,20.967100143399996, 52.1656990051
165,Warsaw Modlin,Poland,WMI,20.6518, 52.451099
166,Wroclaw,Poland,WRO,16.885799408, 51.1026992798
167,Faro,Portugal,FAO,-7.96590995789, 37.0144004822
168,Lisbon,Portugal,LIS,-9.13592, 38.7813
169,Madeira,Portugal,FNC,-16.7745, 32.697899
170,Ponta Delgada,Portugal,PDL,-25.6979007721, 37.7411994934
171,Porto,Portugal,OPO,-8.68138980865, 41.2481002808
172,Bucharest Henri Coanda,Romania,OTP,26.085, 44.5711111
173,Cluj-Napoca,Romania,CLJ,23.686199, 46.785198
174,Iasi,Romania,IAS,27.6205997467041, 47.17850112915039
175,Timisoara,Romania,TSR,21.337900161743164, 45.809898376464844
176,Koltsovo,Russia,SVX,60.802700042725, 56.743099212646
177,Krasnodar,Russia,KRR,39.170501708984, 45.034698486328
178,Moscow Domodedovo,Russia,DME,37.90629959106445, 55.40879821777344
179,Moscow Sheremetyevo,Russia,SVO,37.4146, 55.972599
180,Moscow Vnukovo,Russia,VKO,37.2615013123, 55.5914993286
181,Moscow Zhukovsky,Russia,ZIA,38.150002, 55.553299
182,Novosibirsk Tolmachevo,Russia,OVB,82.650703430176, 55.012599945068
183,Saint Petersburg Pulkovo,Russia,LED,30.262500762939453, 59.80030059814453
184,Sochi,Russia,AER,39.9566, 43.449902
185,Belgrade Nikola Tesla,Serbia,BEG,20.3090991974, 44.8184013367
186,Niš,Serbia,INI,21.853701, 43.337299
187,Bratislava,Slovakia,BTS,17.21269989013672, 48.17020034790039
188,Košice,Slovakia,KSC,21.241100311279297, 48.66310119628906
189,Ljubljana,Slovenia,LJU,14.4576, 46.223701
190,Alicante,Spain,ALC,-0.5581560134887695, 38.28219985961914
191,Almeria,Spain,LEI,-2.3701000213623047, 36.84389877319336
192,Asturias,Spain,OVD,-6.0346198081970215, 43.5635986328125
193,Barcelona,Spain,BCN,2.07846, 41.2971
194,Bilbao,Spain,BIO,-2.9106099605560303, 43.30110168457031
195,Fuerteventura,Spain,FUE,-13.863800048828125, 28.452699661254883
196,Girona,Spain,GRO,2.7605500221, 41.901000977
197,Gran Canaria,Spain,LPA,-15.38659954071045, 27.931900024414062
198,Granada-Jaén,Spain,GRX,-3.777359962463379, 37.18870162963867
199,Ibiza,Spain,IBZ,1.3731199502899998, 38.872898101800004
200,Jerez,Spain,XRY,-6.060110092163086, 36.744598388671875
201,La Palma,Spain,SPC,-17.7556, 28.626499
202,Lanzarote,Spain,ACE,-13.6052, 28.945499
203,Madrid Barajas,Spain,MAD,-3.56264, 40.471926
204,Malaga,Spain,AGP,-4.499110221862793, 36.67490005493164
205,Menorca,Spain,MAH,4.218649864196777, 39.86259841918945
206,Palma de Mallorca,Spain,PMI,2.73881006241, 39.551700592
207,Región de Murcia,Spain,RMU,-1.125, 37.803
208,Reus,Spain,REU,1.1671700477600098, 41.14739990234375
209,Santander,Spain,SDR,-3.82000994682312, 43.427101135253906
210,Santiago de Compostela,Spain,SCQ,-8.415140151977539, 42.89630126953125
211,Seville,Spain,SVQ,-5.8931097984313965, 37.417999267578125
212,Tenerife North,Spain,TFN,-16.3414993286, 28.4827003479
213,Tenerife South,Spain,TFS,-16.5725002289, 28.044500351
214,Valencia,Spain,VLC,-0.481625, 39.4893
215,Zaragoza,Spain,ZAZ,-1.0415500402450562, 41.66619873046875
216,Gothenburg Landvetter,Sweden,GOT,12.279800415039, 57.662799835205
217,Malmö,Sweden,MMX,13.376197814900001, 55.536305364
218,Stockholm Arlanda,Sweden,ARN,17.918600082397, 59.651901245117
219,Stockholm Bromma,Sweden,BMA,17.941699981689453, 59.354400634765625
220,Stockholm Skavsta,Sweden,NYO,16.912200927734375, 58.78860092163086
221,Stockholm Västerås,Sweden,VST,16.63360023498535, 59.58940124511719
222,Basel Mulhouse Freiburg,Switzerland,BSL,7.529167, 47.59
223,Bern,Switzerland,BRN,7.497149944309999, 46.914100647
224,Geneva,Switzerland,GVA,6.108950138092041, 46.23809814453125
225,Zurich,Switzerland,ZRH,8.54917, 47.464699
226,Adana,Turkey,ADA,35.280399322499996, 36.9822006226
227,Ankara Esenboga,Turkey,ESB,32.995098114, 40.128101348899996
228,Antalya,Turkey,AYT,30.800501, 36.898701
229,Dalaman,Turkey,DLM,28.7924995422, 36.7131004333
230,Istanbul New,Turkey,IST,28.751944, 41.275278
231,Istanbul Sabiha Gökcen,Turkey,SAW,29.3092002869, 40.898601532
232,Izmir Adnan Menderes,Turkey,ADB,27.156999588, 38.2924003601
233,Milas-Bodrum,Turkey,BJV,27.6643009186, 37.25059890749999
234,Trabzon,Turkey,TZX,39.78969955444336, 40.99509811401367
235,Kharkiv,Ukraine,HRK,36.290000915527344, 49.924800872802734
236,Kiev Boryspil,Ukraine,KBP,30.894699096679688, 50.345001220703125
237,Kiev Zhuliany,Ukraine,IEV,30.45194, 50.40194
238,Lviv,Ukraine,LWO,23.956100463867188, 49.8125
239,Odessa,Ukraine,ODS,30.67650032043457, 46.42679977416992
240,Aberdeen,United Kingdom,ABZ,-2.197779893875122, 57.201900482177734
241,Belfast City,United Kingdom,BHD,-5.872499942779541, 54.618099212646484
242,Belfast International,United Kingdom,BFS,-6.2158298492399995, 54.6575012207
